,Name,mz,Product mz,rt_start,rt_end,CE,Charge,Training,HRMS_CE,Converted_CE
0,Adenine,136.061776,119.0,2.18,3.22,24,1,1,40.0,22.233160566469433
1,Adenine,136.061776,118.9,2.18,3.22,24,1,1,40.0,22.233160566469433
2,Adenosine,268.104032,136.1,2.12,3.34,16,1,1,30.0,20.416329346906654
3,Adenosine,268.104032,119.0,2.12,3.34,40,1,1,80.0,43.118758397417004
4,cAMP,330.0597957,312.1,1.78,3.57,16,1,1,25.0,19.42405688346843
5,cAMP,330.0597957,135.9,1.78,3.57,24,1,1,40.0,26.23478559862154
7,Arginine,175.118956,70.0,11.5,12.2,28,1,0,40.0,23.03879863130619
8,Arginine,175.118956,60.0,11.5,12.2,16,1,0,20.0,13.957827011102045
9,Asparagine,133.060766,87.0,6.4,6.86,20,1,0,10.0,8.549800871612739
10,Asparagine,133.060766,74.0,6.4,6.86,10,1,0,30.0,17.63077249181688
13,cGMP,346.054706,152.0,5.17,5.58,24,1,0,30.0,22.024229101934555
14,cGMP,346.054706,135.0,5.17,5.58,40,1,0,70.0,40.186172342342836
15,Cystine,241.031126,120.0,6.95,7.43,23,1,0,30.0,19.857892624149216
16,Cystine,241.031126,74.0,6.95,7.43,32,1,0,50.0,28.938864244353354
17,Cytidine,244.092792,111.9,4.5,4.98,20,1,0,20.0,15.380560238626604
18,Cytidine,244.092792,112.0,4.5,4.98,16,1,0,20.0,15.380560238626604
19,Dopamine,154.086276,137.0,10.66,13.26,8,1,0,20.0,13.52398289809822
20,Dopamine,154.086276,91.0,10.66,13.26,24,1,0,50.0,27.145440328404433
22,Glutamate,148.060436,84.0,6.16,6.54,16,1,0,30.0,17.940172840536118
23,Glutamate,148.060436,56.1,6.16,6.54,40,1,0,60.0,31.56163027084233
24,Glutamine,147.076416,130.0,6.37,6.72,10,1,0,10.0,8.838903698376711
25,Glutamine,147.076416,84.0,6.37,6.72,20,1,0,30.0,17.919875318580853
27,Guanosine,284.098942,152.0,5.08,5.48,16,1,0,25.0,18.47601574908256
28,Guanosine,284.098942,135.0,5.08,5.48,40,1,0,70.0,38.908201894541875
29,Histamine,112.0869233,95.0,11.17,15.53,12,1,0,25.0,14.927899119204733
31,Histidine,156.07675600000005,110.0,7.42,9.15,16,1,0,20.0,13.56504081511364
32,Histidine,156.07675600000005,83.0,7.42,9.15,28,1,0,50.0,27.186498245419855
33,Homocystine,269.062426,136.0,7.06,7.53,8,1,0,10.0,11.355126657473015
34,Homocystine,269.062426,88.0,7.06,7.53,40,1,0,60.0,34.05755570798337
35,Isoleucine,132.101906,86.0,4.24,4.72,8,1,0,25.0,15.340751043746371
37,Lysine,147.112806,130.0,11.13,12.0,8,1,0,10.0,8.839654320136383
38,Lysine,147.112806,84.0,11.13,12.0,16,1,0,30.0,17.920625940340525
39,Leucine,132.101906,86.0,3.87,4.23,8,1,0,20.0,13.070508138695336
41,Methionine,150.058326,103.9,4.3,4.84,8,1,0,10.0,8.900411984482297
42,Methionine,150.058326,56.0,4.3,4.84,16,1,0,30.0,17.98138360468644
43,NAD,664.116396,428.0,6.12,6.54,24,1,0,25.0,26.31469038572428
44,NAD,664.116396,136.0,6.12,6.54,40,1,0,50.0,37.66590491097946
45,Phenylalanine,166.086256,120.0,3.22,3.98,12,1,1,20.0,13.771508210096675
46,Phenylalanine,166.086256,103.0,3.22,3.98,32,1,1,50.0,27.39296564040289
47,Proline,116.070606,70.1,4.95,5.41,20,1,0,40.0,21.82079982991286
49,S-Adenosylmethionine,399.144516,250.1,7.54,7.94,12,1,0,20.0,18.578834432333437
50,S-Adenosylmethionine,399.144516,136.0,7.54,7.94,28,1,0,40.0,27.65980605253758
51,Selenomethionine,198.002772,180.9,4.22,4.73,8,1,0,10.0,9.889368962305843
52,Selenomethionine,198.002772,56.1,4.22,4.73,20,1,0,40.0,23.510826392612056
53,Serine,106.0498724,60.0,6.69,7.08,10,1,0,20.0,12.533129097644084
55,Serotonine,177.102239,159.9,11.96,15.04,8,1,0,20.0,13.99873647456417
56,Serotonine,177.102239,114.9,11.96,15.04,32,1,0,60.0,32.16067971497245
57,Tryptophan,205.0971536,188.0,4.5,5.02,8,1,0,10.0,10.035705791115232
58,Tryptophan,205.0971536,146.0,4.5,5.02,20,1,0,30.0,19.116677411319376
59,Uracil,113.034556,70.0,1.84,2.53,20,1,0,35.0,19.487931885195685
61,Uridine,245.076816,113.0,2.81,3.67,20,1,0,20.0,15.400857843090442
62,Uridine,245.076816,70.0,2.81,3.67,40,1,0,70.0,38.103286893600796
63,Valine,118.086256,72.0,4.79,5.17,10,1,0,20.0,12.781405311931364
64,Valine,118.086256,55.0,4.79,5.17,20,1,0,40.0,21.862376932135508
65,Acetyl-CoA,808.118494,461.1,6.02,6.43,40,-1,1,30.0,31.555285261018756
66,Acetyl-CoA,808.118494,408.0,6.02,6.43,40,-1,1,30.0,31.555285261018756
67,cis-Aconitate,173.009164,129.0,8.05,9.74,4,-1,0,10.0,9.373822218214016
68,cis-Aconitate,173.009164,84.9,8.05,9.74,12,-1,0,20.0,13.914308028316087
69,Adenine,134.047224,106.9,2.18,3.22,20,-1,1,30.0,17.651120302748513
70,Adenine,134.047224,92.0,2.18,3.22,20,-1,1,40.0,22.191606112850586
71,Adenosine,266.08948080000005,134.1,2.12,3.34,24,-1,1,30.0,20.37477490978952
72,Adenosine,266.08948080000005,107.0,2.12,3.34,40,-1,1,60.0,33.99623234009573
73,cAMP,328.0452437,79.1,1.78,3.57,40,-1,1,80.0,44.35517438541097
74,cAMP,328.0452437,134.0,1.78,3.57,28,-1,1,35.0,23.922988239951657
75,ADP,426.022134,426.0,6.96,7.77,5,-1,1,10.0,14.592757111347616
76,ADP,426.022134,79.0,6.96,7.77,40,-1,1,70.0,41.83567197196004
77,Aspartate,132.030234,114.8,6.45,6.95,8,-1,0,20.0,13.069029750051225
78,Aspartate,132.030234,88.1,6.45,6.95,12,-1,0,20.0,13.069029750051225
79,ATP,505.988474,506.0,7.98,8.51,5,-1,1,10.0,16.242234298632464
80,ATP,505.988474,79.0,7.98,8.51,40,-1,1,80.0,48.02563496934695
81,Citrate,191.019724,87.0,8.85,9.32,25,-1,1,25.0,16.55605734281671
82,Citrate,191.019724,111.0,8.85,9.32,10,-1,1,20.0,14.285814437765675
85,Cystine,239.016574,120.0,6.95,7.43,20,-1,0,10.0,10.735366550326223
86,Cystine,239.016574,72.0,6.95,7.43,40,-1,0,60.0,33.43779560083657
87,Cytidine,242.07824080000003,108.9,4.5,4.98,12,-1,0,20.0,15.33900580150947
88,DHAP,168.990724,97.0,6.65,7.23,10,-1,0,10.0,9.290933278836862
89,DHAP,168.990724,79.0,6.65,7.23,40,-1,0,60.0,31.993362329347217
90,FBP,338.9887740000001,97.0,8.9,9.33,20,-1,0,30.0,21.87847910711291
91,FBP,338.9887740000001,78.9,8.9,9.33,40,-1,0,80.0,44.58090815762326
92,F6P,259.022444,96.8,7.21,8.25,12,-1,0,20.0,15.688516315997427
93,F6P,259.022444,79.0,7.21,8.25,40,-1,0,80.0,42.93143117660985
94,GN6P,258.038424,96.9,7.48,8.03,16,-1,0,30.0,20.208704604144238
95,GN6P,258.038424,78.9,7.48,8.03,40,-1,0,80.0,42.911133654654584
96,Glutamate,146.045884,127.9,6.16,6.54,8,-1,0,10.0,8.817646766713127
97,Glutamate,146.045884,101.9,6.16,6.54,12,-1,0,20.0,13.358132576815196
98,Glutamine,145.061864,127.0,6.37,6.72,8,-1,0,20.0,13.337835054859934
100,G3P,168.99074850000005,79.0,6.8,7.81,20,-1,0,60.0,31.99336283471224
101,G3P,168.99074850000005,97.0,6.8,7.81,20,-1,0,10.0,9.290933784201885
102,Guanosine,282.08439080000005,132.9,5.08,5.48,36,-1,0,50.0,29.785675837220605
103,Guanosine,282.08439080000005,150.0,5.08,5.48,20,-1,0,30.0,20.704704217016463
104,G6P,259.022444,96.9,7.28,8.25,16,-1,1,20.0,15.688516315997427
105,G6P,259.022444,79.0,7.28,8.25,40,-1,1,80.0,42.93143117660985
108,Indole-3-acetate,174.0560525,130.0,1.32,2.4,30,-1,0,10.0,9.395416537753723
109,Indole-3-acetate,174.0560525,128.0,1.32,2.4,30,-1,0,30.0,18.476388157957867
110,Isocitrate,191.019724,111.0,8.48,9.76,10,-1,0,20.0,14.285814437765675
111,Isocitrate,191.019724,73.0,8.48,9.76,40,-1,0,40.0,23.36678605796982
114,Malate,133.014244,115.0,7.19,7.76,10,-1,0,20.0,13.08932706573505
115,Malate,133.014244,71.0,7.19,7.76,20,-1,0,30.0,17.62981287583712
117,NAD,662.101844,328.1,6.12,6.54,28,-1,0,35.0,30.813621742207506
118,NAD,662.101844,540.1,6.12,6.54,16,-1,0,10.0,19.46240721695233
121,AKG,145.014244,100.9,6.84,7.28,4,-1,0,10.0,8.796366980174307
122,AKG,145.014244,57.2,6.84,7.28,20,-1,0,20.0,13.336852790276378
123,PEP,166.9750984,79.0,8.44,8.78,16,-1,0,20.0,13.789842490018595
125,R5P,229.0118778,97.0,7.05,7.54,20,-1,0,20.0,15.069484054118222
126,R5P,229.0118778,79.0,7.05,7.54,40,-1,0,80.0,42.31239891473064
127,Selenomethionine,195.9882208,94.9,4.22,4.73,12,-1,0,20.0,14.388300335290781
128,Succinate,117.019334,98.9,6.59,7.01,8,-1,0,20.0,12.759397758508106
129,Succinate,117.019334,73.0,6.59,7.01,12,-1,0,20.0,12.759397758508106
131,Uridine,243.062264,200.0,2.81,3.67,8,-1,0,10.0,10.818817579369522
132,Uridine,243.062264,109.9,2.81,3.67,16,-1,0,20.0,15.359303389471593
134,UDP-N-acetyl-GN,606.0742935,159.0,6.9,7.34,40,-1,0,50.0,36.468662121378244
